user,playtime,post_date,helpfulness,review_text,recommend,early_access_review
Orion,7.4,"August 20, 2024",2318,---{ Graphics }---☑ You forget what reality is☐ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☑ Very good☐ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☑ Eargasm☐Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☐ Kids☑ Teens☑ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☐ Fast☑ Rich boi☐ Ask NASA if they have a spare computer---{ Game Size }---☐ Floppy Disk☑ Old Fashioned☐ Workable☐ Big☑ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data---{ Difficulty }---☐ Just press 'W'☐ Easy☐ Easy to learn / Hard to master☑ Significant brain usage☐ Difficult☐ Dark Souls---{ Grind }---☐ Nothing to grind☐ Only if u care about leaderboards/ranks☑ Isn't necessary to progress☐ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☑ Some lore☐ Average☐ Good☑  Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond---{ Price }---☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☑  Never heard of☐ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☐ 9☑ 10,True,
Pascal,44.2,"September 1, 2024",2263,"Might be the first time where negative reviews actually made me buy a game.Great—Not every game needs to have an open, fully explorable world. I'd much rather have a linear experience in beautifully crafted environments, which this game has. Honestly, there's much exploring to do, and it's always worthwhile.I would never have expected this to be an actual complaint. This game gives me flashbacks to the late '90s and early 2000s, where you actually play a game and don't get directions spoon-fed. You have to use your eyes and recognize where you've been and where you can still go. It's what makes exploration fun and worthwhile. Backtracking through areas to see if you missed anything.Again—How is this a negative? The boss fights are the reason we play this genre of games. I'm amazed at how much love and attention has been put into each boss. They all have gorgeous visuals and fun, engaging movesets.I find diversity, equality, and inclusion important topics. However, not every game needs it. Some games have a good place and fit for it, like Baldur's Gate 3, which does it very well. However, this is a mythological game where you play as a monkey and beat up rats, lizards, and the like.This is one of the few games in the last few years where I'm having a blast playing. It feels like a mix between God of War and Monster Hunter in a Souls-like sauce. The game is hard enough to be challenging but easy enough to craft your own build without googling for strong and effective builds.",True,
[Msc*]EngDesignEnjoyer,46.5,"August 19, 2024",1679,"I'm sure the Western gaming press didn't give ‘Black Myth: Wukong’ the rating it deserved.It's not because I'm a Chinese gamer that I blindly praise my country for creating a work of art.From the IGN review: ‘The story assumes you have knowledge of Journey to the West and is tough to follow without it’. I think localised translations do present some problems, as many complex cultural backgrounds take a long time to research in order to make the most accurate translation.But for all the overseas players, please trust me that a lot of the game's backstory is hard to understand even for me, such as some of the words carved on the stone monuments.In addition, there is also something that game science, a game maker, likes to hide content, and many parts of the game content are scattered throughout the game, requiring players to constantly explore and dig into the details.For a Chinese gamer like me, I finally don't have to go to the language settings to find the language option and change it to Simplified Chinese. Now I just need to keep the default settings.I hope this game can become a huge success and everyong can enjoy the game content while he is exploring the mysterious world of Journey to the West.If you encounter some obscure content while playing, you can leave a comment. I will go to the Chinese search engine to see if I can find the answer (I am not sure I can solve your problem), but everyone can express their own opinions. I believe this is the joy of playing games together and understanding them.",True,
ChewbaccaJones,47.3,"August 23, 2024",1352,"There is exactly zero chance this is the review that makes you buy this game considering there are a quarter-million similar endorsements, but: This game definitely goes on the top games of all time list...right near the top alongside Witcher Wild Hunt, BG3. and Ghost of Tsushima.  It isn't ""perfect in every way""; but what it does well, it does better than most before it and resets several bars in terms of expectations for games going forward.  Its graphics, its fluidity in movement; its animations; its level design; its bosses...all top-notch.  It is absolutely NOT a souls-like.  It has a few elements of what makes soulslikes great; but leaves out the frustrating parts. It acknowledges that it is already a tough game and doesn't further burden the player with the tedious punishments that some of us souls-like-fatigued have become accustomed to tolerating:- No hunting down souls dropped- No min/maxing builds based on a subset of weapon types- fewer punishing second-phase fightsMay seem like a short list, but the lack of that ""Holy crap, I hate this game...I can't believe I just grinded through this entire level for the past hour only to get one-shotted and lost all my progress"" feeling.As many other players have noted, this game is far closer to GOW.  My favorite description I read so far was: ""It's like God Of War, Ghost of Tsushima, and Elden Ring had a threesome and nobody knows who the father is.""Cons (short list):- invisible walls are especially noticeable in the first chapter.  Annoying to see something that looks like a cave, but hit an invisible wall five feet in front of it.- A noticeable halo effect caused by what appears to be post-processing setting. Toning that down made a good improvement.- some heavy granular effects by what I assume is some graphics setting in either post-processing.- Not sure if the ""FSR"" is FSR3...also, we can't completely turn off the FSR/DLSS apparently...it looks like we can only set it to quality and up the resolution limit to 100%.  It would be nice to be able to turn it off; even if it is only for a comparison.  But aside from those very minor nitpicks, this game is an all-time-top-tier-absolutely fabulous game and I HOPE MAJOR GAME STUDIOS WILL SEE HOW SUCCESSFUL THIS IS AND FOLLOW THEIR LEAD!!!More of this type of game: Complete; functional on launch; great writing; great characters; outstanding graphics and gameplay...NO MICROTRANSACTIONS...Buy it. It is worth it and then some.",True,
Commissar Sheldowski,10.9,"August 19, 2024",1246,"- Started the game- See monke with armour looking at the horizon- Monke jumps- Rides a freaking cloud just like Goku - Stops in front of an army - Me afraid, monke not afraid- God gay dude says monke is an idiot- Monke laughs- Monke starts to beat the ♥♥♥♥ out of the gay god- Gay god flees from the fight- Monke mountain getting destroyed- Me sad, monke angry- We bring them to the forest- We now bird, bird flies- Gay god now bird too- Something happens and monke loses his power of bird- Oh no- Monke defeated- Many years later, we gather with other apes and listen to the history of master monke- We learn that the true monke is the friends we make along the way- I drop the controllerAbsolute Cinema",True,
Shumakov,9.5,"August 19, 2024",1221,"“To craft a masterpiece, one must avoid the counsel of SweetBaby Inc.”- Sun Tzu, probably",True,
TheMeda,17.9,"August 23, 2024",1169,---{ Graphics }---☐ You forget what reality is☑ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☑ Very good☐ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☑ Eargasm☐Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☐ Kids☑ Teens☑ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☑ Fast☑ Rich boi☐ Ask NASA if they have a spare computer---{ Game Size }---☐ Floppy Disk☐ Old Fashioned☐ Workable☐ Big☑ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data---{ Difficulty }---☐ Just press 'W'☐ Easy☐ Easy to learn / Hard to master☑ Significant brain usage☑ Difficult☐ Dark Souls---{ Grind }---☐ Nothing to grind☐ Only if u care about leaderboards/ranks☑ Isn't necessary to progress☑ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☐ Some lore☐ Average☑ Good☐ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond---{ Price }---☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☑ Never heard of☐ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☐ 9☑ 10,True,
Sin,64.4,"November 16, 2024",1165,---{ Graphics }---🔲 Awful🔲 Bad🔲 Will do🔲 Decent (Nothing special)✅ Stunning🔲  Visual Masterpiece---{ Gameplay }---🔲 Bad🔲 Okay🔲 Nothing special🔲 Good✅ Very good🔲 Try not to get addicted---{ Audio }---🔲 Bad🔲 Not too bad🔲 Decent🔲 Good🔲 Beautiful✅ Masterpiece---{ PC Requirements }---🔲 Potato🔲 Decent🔲 Fast✅ High-end PC🔲 Ask NASA if they have a spare computer---{ Difficulty }---🔲 Just press a bunch of buttons🔲 Easy✅ Significant brain usage🔲 Easy to learn / Hard to master🔲 Difficult🔲 Dark Souls---{ Grind }---🔲 Nothing to grind✅ Only if you care about 100%✅ Average grind level🔲 Too much grind🔲 Insanity---{ Story }---🔲 None/Not important in this game🔲 Bad🔲 Average🔲 Great✅ Well written🔲 One of the best i've had the pleasure of playing---{ Price }---🔲 Free✅ Worth the price🔲 If it's on sale🔲 Acceptable price🔲 Overpriced🔲 Complete waste of money---{ Bugs }---🔲 Never heard of✅ Minor bugs🔲 Can get annoying🔲 The game itself is a big terrarium for bugs---{ Game Time }---🔲 Very Short (0-5 hours)🔲 Short  (5-10 hours)🔲 Average  (10-30 hours)✅ Long  (30-50 hours)🔲 Extremely long  (50-100+ hours)✅ Replayability   (Infinity hours+)---{ ? / 10 }---🔲 1🔲 2🔲 3🔲 4🔲 5🔲 6🔲 7🔲 8✅ 9🔲 10,True,
Ted,102.6,"August 22, 2024",1027,"The game devs have said many times this is not a souls-like, I corrected people many times to tell them it is not a souls-like. Turns out that yeah, I think it is very much a souls-like. Right off I think this is going to create a problem for a lot of buyers who likely were expecting an ""action RPG"" as while it certainly does have some of those characteristics, make no mistake, this is a very difficult game at times. The combat is definitely souls inspired though it is quite unique in some ways, as there is effectively no base blocking mechanic but rather you basically build up energy to unleash heavier attacks and you can do so via dodging perfectly or many basic hits on an enemy (to put it simply). At first as a souls enjoyer I struggled to understand what they were expecting and the combat initially felt clumsy and not at all tight. But once you lock in and start learning how to perfectly dodge, there is nothing more satisfying than pulling off multiple perfect dodges back to back, with a very satisfying audio and visual effect to indicate you did pull off a perfect dodge. But it took me hours of dying to the first 'boss' (Wandering Wight) to finally realise the combat is fast, punishing but immensely satisfying and I think that is being overlooked with all the drama surrounding the game. That being said, I would have loved a ranged option to deal with the very annoying archers that appear regularly and for a monkey man, he seems to have a distinct lack of climbing ability which seems a bit oddOn that note, we all probably know the premise of the story and it is presented beautifully, if slightly confusing if you are unfamiliar with the source material. The Chinese mythological setting of the game is not something I have played in often if at all, so it makes for an interesting and original setting for me and the fact it is absolutely beautiful and atmospheric is just icing on the cake here. They have created some full AAA quality cutscenes to move along telling the story and they feel not unlike the grand cutscenes in God of War in scope and quality, they really have done a great job here in my opinion. The world is absolutely beautiful with a very distinct Unreal 5 look to it, though it is very linear with some limited exploration to be had but you will often find an invisible wall stopping you from venturing off the trail and they maybe could have been a bit more creative with how they keep you in the limits of the map without just straight up invisible walls but for me this is just a minor complaint. Sound is great and of course the graphics are stunning, though of course with the caveat that this is an Unreal 5 game and it uses all the latest visual fluff, so don't think you're going to max this out on your GTX 1050 and have good time. But it scales well and if you follow guides like the Hardware Unboxed optimisation guide you should be able to get it running well on very modest hardware. In summary I think this is one game that surprisingly lived up to the hype, while it isn't perfect I think overall these guys have done an amazing job for their first big release and it could very well end up being one of the top games of this year. I think a big thing to understand as a potential buyer going into this game, is that it is VERY difficult at times and this I am sure is going to catch a lot of people out as an unpleasant surprise.",True,
Bearsonal,37.2,"August 23, 2024",1018,"Black Myth: Wukong was a game I’d been eagerly waiting for since it was first revealed in 2020. Like many others, I was skeptical about whether the developers could deliver on such an ambitious project. I don’t think the Steam reviews and player counts accurately reflect the reality. The overwhelmingly positive reviews and high player counts are largely driven by nationalistic support from China, where the game is celebrated as a major achievement. While my review is positive because I do believe the game is good, I also think it is kind of overrated. As always, I aim to provide honest opinions and a truthful assessment of my experience. I am writing this review after actually completing this game, unlike every review with 2 hours and claiming it GOTY.The game’s graphics are outstanding. The visual fidelity, from the breathtaking environments to the intricate character designs, is top-notch. The animations, visual effects, and render distance are all impressive, adding to the game’s overall looks. The sound effects are equally well done, though the soundtrack leaves much to be desired. While the game runs smoothly for the most part, Chapter 3, particularly the snowy maps, does suffer from performance issues. Despite this, the overall optimization is solid, and the game manages to maintain its high graphical standards without too many hiccups.The bosses in Black Myth: Wukong are a real feat to play against. When it was revealed that the game had 81 bosses, I was sure that at least half of them would be replicated, similar to what we saw in Elden Ring. But it's shocking and great to say that more than 90% of the bosses in the game are unique, each one fun to play and mostly well-designed. However, most of the bosses are surprisingly easy. Speaking of difficulty, I’ve seen some people argue that Wukong isn’t a Soulslike, but I would definitely consider it one. It has everything a Souls game offers, except for the corpse-run mechanic. It has some similarities to God of War and Bayonetta, but I believe it’s much closer to Soulsborne titles than that.The game feels and combat is initially great and fun to play. The fluidity of movement and the responsiveness of controls are great. However, as I played through the game, I found that it became too repetitive for me, even with the large variety of bosses and enemy types. Once you discover which combos and moves work best, there’s little need to change them. The same goes for the Spirit mechanics. The game provides you with a ton of spirits, but once you find a good one and upgrade it, there’s really no need to use others, just like how most people only played with the Mimic Tear in Elden Ring. The spells, while fun to use, also feel limited in variety. Only having four spells for a 40-hour game made the experience feel stale over time. Additionally, the spells cost mana, which restricts their usage, especially during boss fights. Since the most fun aspect of Wukong is using these spells, this limitation is quite a shame.The big skill trees in the game primarily change your passive stats and your heavy attack, which you use rarely. This adds to the repetitiveness of the combat since the skill trees don’t significantly alter how you engage in battles, making the combat feel even more repetitive as you progress.When it comes to the story, Black Myth: Wukong seemingly tells the story of Journey to the West. I have no prior knowledge of this story or the movie, so I didn’t get much out of it. The mute protagonist doesn’t help either. The game seems to expect players to be familiar with the original story, which made it hard for me to connect with the narrative.The level and map design is by far the worst part of Black Myth: Wukong and the major thing that severely impacted my experience, reducing the enjoyment I got from the game by miles. In Chapter 1, the level design is very linear—you kill a few enemies, 30 seconds later comes an amazing boss fight, you kill another bunch, and a minute later, another spectacular boss fight. This pattern repeats until the end of the chapter. At first, I wasn't sure if I liked this; it felt odd and almost made the game seem like a boss rush experience. But since I was enjoying the heck out of the bosses, I loved this design choice, and fighting new bosses every 10 minutes was such a joy. This continued the same way until I reached the Tiger Vanguard boss fight, which is the peak of Black Myth Wukong in terms of game design tempo. The boss was one of the best in the game. At that point, I was sure I was playing the Game of the Year 2024 and possibly one of the best action games I've ever played.Unfortunately, that's when the game began going downhill. By Chapter 3, the game started to feel very repetitive, with the same combat mechanics being reused over and over. In Chapters 2 and 3, you start playing in huge, open world-ish maps. Now, is that a bad thing? Elden Ring did the same, right? No, because Wukong's maps are filled with limiting invisible walls everywhere. There are hundreds of the same enemies throughout the map, and you often go in a direction unsure if it's worth your time. You never know if you’ll find a new boss, an invisible wall, a little XP, or just nothing at all. I found myself sprinting around the huge maps only to find nothing most of the time, as there was no indicator if the journey was worth it. What adds to the frustration is that the game doesn’t guide you to your main objective, or even clearly define what it is. So, if you’re bored of aimlessly wandering around, you can't simply rush to the main quest. This lack of direction makes the game feel even more disjointed and tiresome. The issue peaks in Chapter 6, where the game becomes a frustrating slog. There’s never an indoor-level design to alleviate this, except for one extremely linear and frustrating dungeon. The lack of a map or compass is a particularly bad decision, especially since even FromSoftware addressed this with Elden Ring. The graphical quality of the maps is insane, but they look extremely bland and uninspiring compared to the art design of Elden Ring. This detracts from the game’s atmosphere and overall enjoyment.The music and soundtrack are also quite poor, which significantly affects the atmosphere of the world. The only song I liked was the one sung by the headless dude; nothing else stood out. No Soulsborne or Soulslike game has ever come close to the level of Dark Souls 3's soundtrack, and Wukong doesn’t change that.Many bosses and enemies have a tendency to freeze during fights, some even becoming invincible. These bugs made me replay the same enemies several times.In conclusion, Black Myth: Wukong is a good game, even though it’s far from meeting all of my expectations. Despite its shortcomings, it is a very solid entry from Game Science. I will be highly looking forward to their next game as much as I did for Black Myth: Wukong, hoping they will improve upon these shortcomings and deliver an even more polished experience. I don’t have a definitive Game of the Year candidate for this year, but I can confidently say that Black Myth: Wukong isn't it. For me, Prince of Persia: The Lost Crown stands out as a better title.Follow My",True,
FroheMilchmann,35.8,"August 22, 2024",920,"(Review in progress, 8h so far, 2 chapters completed)This game surprised me more than I expected. The level of polish and care put into it is quite impressive and I absolutely loved my time with it so far. Graphics and art-design are top notch, sound design is great, music has its highs and lows, but what it doesn't lack is identity, it's pretty original. If you're familiar with the original story or Chinese mythology, you'll probably love the interpretations of characters from there, if you have no idea what is it about, prepare yourself for a wild ride, it can get quite weird, but equally amazing. Now, the main thing - gameplay. Overall I can say that it's pretty fun and I had a good time with it, especially thanks to the very decent enemy variety and non-stop bosses with their own quirks, but the only gripe that I personally have with the game - is the lack of combos, or just overall depth of core staff combat. Don't get me wrong, it's not bad, however it seems like the combat's variety is leaning more towards a couple of special abilities and you waiting for them to be available again, while with the staff itself you have only one light attack combo and with that only 3 variations of heavy attacks, plus you can't cancel out of many of your animations, which is annoying in a game like this. Also most of your character progression is tied to stats improvements. I guess after playing many games like DMC series, Bayonettas, even something like recent GOW, Darksiders etc, I got spoiled with even more responsive and flexible combat systems, but other than that, I'm more than satisfied with everything else.Can I recommend it? Heck yeah! We need more single-player games like this one.Who is it for? I'd say it's a mix of a Souls-like meets GOW, but it has its own unique ideas as well.Final score (as of now) - 8.5/10 If the game manages to surprise me with something else, I'll be glad to raise the score to at least 9/10, but I'm a bit picky about some gameplay details. Still impressed though.UPD after 30 hours and almost finishing the game - I'll leave the score at 8.5 and my main points still stand. This game is impressive and it's one of the best and most solid 8/8.5 out of 10 sorta games you'll ever play, but some parts of the game outstay their welcome and combat doesn't evolve much (some people have a different opinion on this, and that's fine by me). Other than that, I loved it.",True,
